num_certification,lib_certif
1,Linux Professional Institute Certification Level 1 (LPIC Level 1) 
2,Adobe Certified Expert (ACE) 
3,Cisco Certified Network Associate (CCNA) 
4,Microsoft Office User Specialist (MOUS) 
5,Oracle Certified Professional (OCP)
6,Certified IRIX System Administrator 
7,Lucent Certified Integration Expert (LCIE) 
8,Corel Certified Proficient User 
9,Cisco Certified Network Professional 
10,Cisco Certified Internetwork Expert (CCIE) 
11,Cisco Certified Design Associate 
12,Cisco Certified Design Professional (CCDP)
13,VMware Certified Professional (VCP) 
14,Cisco Certified Architect (CCA). 
15,Fondations ITIL v3 
